date,review_count
2025-07-22,2517
2025-07-23,2350
2025-07-24,2605
2025-07-25,2367
2025-07-26,2420
2025-07-27,2498
2025-07-28,2188
2025-07-29,2330
2025-07-30,2184
2025-07-31,2235
2025-08-01,2195
2025-08-02,2127
2025-08-03,2635
2025-08-05,2478
2025-08-07,2279
2025-08-08,8
2025-08-09,4
2025-08-10,8
2025-08-11,1375
2025-08-12,2629
2025-08-13,2703
2025-08-15,2511
2025-08-16,2482
2025-08-17,2454
2025-08-18,2241
2025-08-19,2711
2025-08-20,2335
2025-08-21,2179
2025-08-22,2233
2025-08-23,2309
2025-08-25,2340
2025-08-27,2337
2025-08-28,2264
2025-08-29,2173
2025-08-30,2278
2025-08-31,2318
2025-09-01,2081
2025-09-02,2105
2025-09-03,2209
2025-09-04,2194
2025-09-05,2283
2025-09-06,2211
2025-09-07,2435
2025-09-08,2126
2025-09-09,2250
2025-09-10,2332
2025-09-11,2509
2025-09-12,2386
2025-09-13,2602
2025-09-15,2625
2025-09-16,2408
2025-09-18,2172
2025-09-20,1925
2025-09-21,2158
2025-09-22,1893
2025-09-23,1777
2025-09-24,1684
2025-09-25,1788
2025-09-27,1771
2025-09-29,1481
2025-09-30,1445
2025-10-03,1194
2025-10-04,1147
2025-10-05,1251
2025-10-06,1564
2025-10-07,1731
2025-10-08,1555
2025-10-09,1653
2025-10-10,1494
2025-10-11,1574
2025-10-12,1634
2025-10-13,1548
2025-10-14,1614
2025-10-15,1547
2025-10-16,1511
2025-10-17,1393
2025-10-18,1378
2025-10-20,1327
2025-10-21,1308
2025-10-22,1415
2025-10-23,1370
2025-10-25,1354
2025-10-26,1558
2025-10-27,1473
2025-10-28,1456
2025-10-30,1356
2025-10-31,1346
2025-11-01,1349
2025-11-02,1384
2025-11-03,1216
2025-11-04,1385
2025-11-07,1318
2025-11-08,1309
2025-11-09,1383
2025-11-10,1213
2025-11-11,1238
2025-11-12,1252
2025-11-13,1214
2025-11-14,1251
2025-11-15,1151
2025-11-16,1336
2025-11-17,1170
2025-11-19,1294
2025-11-20,1213
2025-11-21,1145
2025-11-22,1112
2025-11-24,1113
2025-11-26,1152
2025-11-27,1250
2025-11-29,1040
2025-11-30,1147
2025-12-01,1038
2025-12-03,1101
2025-12-04,1043
2025-12-05,1038
2025-12-07,1092
2025-12-08,1097
